web-scraper-order,web-scraper-start-url,products,products-href,enter,enter-href,image-src,features,specs
"1649630891-1475","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","New      6.5 Peak HP Wet/Dry Vacuum Motor Head (0931-20) 0.0 out of 5 stars.   + Quick View","https://www.milwaukeetool.com/Products/0931-20","/-/media/Products/Power-Tools/Cordless/Vacuums/Vacuums/0931-20_1.png?mw=520&mh=520&hash=DD408A7F2F5241885A1726ACF798990B","","12.3 in"
"1649630882-1400","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","New      M18 FUEL™ 9 Gallon Dual-Battery Wet/Dry Vacuum (0920-20) 5.0 out of 5 stars. 1 review  + Quick View","https://www.milwaukeetool.com/Products/0920-20","/-/media/Products/Power-Tools/Cordless/Vacuums/Vacuums/0920-20_2.png?mw=520&mh=520&hash=434544521625562EF305EE4DA7930140","","Product Specifications"
"1649630882-1408","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","New      M18 FUEL™ 9 Gallon Dual-Battery Wet/Dry Vacuum (0920-20) 5.0 out of 5 stars. 1 review  + Quick View","https://www.milwaukeetool.com/Products/0920-20","/-/media/Products/Power-Tools/Cordless/Vacuums/Vacuums/0920-20_2.png?mw=520&mh=520&hash=434544521625562EF305EE4DA7930140","","30.25 lbs"
"1649630906-1604","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","Coming Soon      M18 FUEL™ 15mm Random Orbital Polisher (2684-20) 0.0 out of 5 stars.   + Quick View","https://www.milwaukeetool.com/Products/2684-20","/-/media/Products/Power-Tools/Cordless/Sanders-and-Polishers/2684/2684-20_1.png?mw=520&mh=520&hash=F70E9B6A815E6D1B3E29F3ECE5CBCA18","","Tool Warranty"
"1649630921-1682","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","Coming Soon      M18 FUEL™ 12 Gallon Dual-Battery Wet/Dry Vacuum Kit (0930-22HD) 5.0 out of 5 stars. 1 review  + Quick View","https://www.milwaukeetool.com/Products/0930-22HD","/-/media/Products/Power-Tools/Cordless/Vacuums/Vacuums/0930-22HD_2.png?mw=520&mh=520&hash=607FDA76E2D708176F8147D3C69D74AC","Requires (2) M18™ REDLITHIUM™ Batteries to operate",""
"1649630867-1294","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","New      M18 FUEL™ 5"" Flathead Braking Grinder, Paddle Switch No-Lock (2886-20) 4.5 out of 5 stars. 2 reviews  + Quick View","https://www.milwaukeetool.com/Products/2886-20","/-/media/Products/Power-Tools/Cordless/Grinders/2886/2886-20_1.png?mw=520&mh=520&hash=1F37B92672DB245DE71BA27856DD4A9E","","Tool Warranty"
"1649630915-1671","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","Coming Soon      M18 FUEL™ Dual Battery Wet/Dry Vacuum Motor Head (0921-20) 0.0 out of 5 stars.   + Quick View","https://www.milwaukeetool.com/Products/0921-20","/-/media/Products/Power-Tools/Cordless/Vacuums/Vacuums/0920_B.png?mw=520&mh=520&hash=13F544A14D0D42652951C2CD898CFAFD","","Width"
"1649630900-1548","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","New      M18 Inflator (2848-20) 5.0 out of 5 stars. 1 review  + Quick View","https://www.milwaukeetool.com/Products/2848-20","/-/media/Products/Power-Tools/Cordless/Vacuums-and-Fans/2848-20/2848-20_2.png?mw=520&mh=520&hash=93509500E1CFF444EFAA1D228962DFFC","","Material Application"
"1649630912-1635","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","Coming Soon      12 Gallon Wet/Dry Vacuum Tank (0932-20) 0.0 out of 5 stars.   + Quick View","https://www.milwaukeetool.com/Products/0932-20","/-/media/Products/Power-Tools/Cordless/Vacuums/Vacuums/0932-20_1.png?mw=520&mh=520&hash=3039BE93CBDE48A0F3F64F604F514A41","Oversized tank drain for water removal and drainage after collection",""
"1649630903-1588","https://www.milwaukeetool.com/","Products","https://www.milwaukeetool.com/Products","New      M18™ Drum Machine with 3/8"" Cable (2817A-21) 0.0 out of 5 stars.   + Quick View","https://www.milwaukeetool.com/Products/2817A-21","/-/media/Products/Power-Tools/Cordless/Drain-Cleaning/2817/2817A-21_Kit.png?mw=520&mh=520&hash=7C810B8955079805774FDC59F4853C19","",""
